capability_id,platform,impl,status,note
cap.device.class.deskview,macos,avfoundation,native,
cap.device.class.deskview,ios,avfoundation,deny,dev-macosonly
cap.device.class.deskview,android,camera2ndk,deny,dev-nodeskview
cap.device.class.deskview,android,camerax,deny,dev-nodeskview
cap.device.class.deskview,linux,v4l2,deny,dev-nodeskview
cap.device.class.deskview,linux,libcamera,deny,dev-nodeskview
cap.device.class.deskview,linux,pipewire,deny,dev-nodeskview
cap.device.class.deskview,win32,mediafoundation,deny,dev-nodeskview
cap.device.class.deskview,web,getusermedia,deny,dev-nodeskview
cap.device.class.deskview,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.class.deskview,genicam,sfnc,deny,dev-genconsumer
cap.device.class.depth_sensor,macos,avfoundation,deny,dev-iosonly
cap.device.class.depth_sensor,ios,avfoundation,native,
cap.device.class.depth_sensor,android,camera2ndk,emulate,dev-c2depthcap
cap.device.class.depth_sensor,android,camerax,deny,dev-cxnodepth
cap.device.class.depth_sensor,linux,v4l2,native,
cap.device.class.depth_sensor,linux,libcamera,deny,dev-lcnodepth
cap.device.class.depth_sensor,linux,pipewire,emulate,dev-pwprops
cap.device.class.depth_sensor,win32,mediafoundation,native,
cap.device.class.depth_sensor,web,getusermedia,deny,dev-webdeny
cap.device.class.depth_sensor,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.class.depth_sensor,genicam,sfnc,deny,dev-genconsumer
cap.device.class.machine_vision,macos,avfoundation,deny,dev-ceiling
cap.device.class.machine_vision,ios,avfoundation,deny,dev-ceiling
cap.device.class.machine_vision,android,camera2ndk,deny,dev-ceiling
cap.device.class.machine_vision,android,camerax,deny,dev-ceiling
cap.device.class.machine_vision,linux,v4l2,deny,dev-ceiling
cap.device.class.machine_vision,linux,libcamera,deny,dev-ceiling
cap.device.class.machine_vision,linux,pipewire,deny,dev-ceiling
cap.device.class.machine_vision,win32,mediafoundation,deny,dev-ceiling
cap.device.class.machine_vision,web,getusermedia,deny,dev-ceiling
cap.device.class.machine_vision,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.class.machine_vision,genicam,sfnc,native,
cap.device.facing,macos,avfoundation,native,
cap.device.facing,ios,avfoundation,native,
cap.device.facing,android,camera2ndk,native,
cap.device.facing,android,camerax,native,
cap.device.facing,linux,v4l2,native,
cap.device.facing,linux,libcamera,native,
cap.device.facing,linux,pipewire,emulate,dev-pwprops
cap.device.facing,win32,mediafoundation,deny,dev-mfnofacing
cap.device.facing,web,getusermedia,native,
cap.device.facing,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.facing,genicam,sfnc,deny,dev-genconsumer
cap.device.mount.rotation,macos,avfoundation,deny,dev-norotation
cap.device.mount.rotation,ios,avfoundation,deny,dev-norotation
cap.device.mount.rotation,android,camera2ndk,native,
cap.device.mount.rotation,android,camerax,native,
cap.device.mount.rotation,linux,v4l2,native,
cap.device.mount.rotation,linux,libcamera,native,
cap.device.mount.rotation,linux,pipewire,emulate,dev-pwprops
cap.device.mount.rotation,win32,mediafoundation,deny,dev-norotation
cap.device.mount.rotation,web,getusermedia,deny,dev-norotation
cap.device.mount.rotation,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.mount.rotation,genicam,sfnc,deny,dev-genconsumer
cap.device.sensor.geometry,macos,avfoundation,deny,dev-nosensorgeom
cap.device.sensor.geometry,ios,avfoundation,deny,dev-nosensorgeom
cap.device.sensor.geometry,android,camera2ndk,native,
cap.device.sensor.geometry,android,camerax,emulate,dev-cxinterop
cap.device.sensor.geometry,linux,v4l2,deny,dev-nosensorgeom
cap.device.sensor.geometry,linux,libcamera,native,
cap.device.sensor.geometry,linux,pipewire,deny,dev-nosensorgeom
cap.device.sensor.geometry,win32,mediafoundation,deny,dev-nosensorgeom
cap.device.sensor.geometry,web,getusermedia,deny,dev-webdeny
cap.device.sensor.geometry,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.sensor.geometry,genicam,sfnc,native,
cap.device.sensor.pixel_pitch,macos,avfoundation,native,
cap.device.sensor.pixel_pitch,ios,avfoundation,native,
cap.device.sensor.pixel_pitch,android,camera2ndk,native,
cap.device.sensor.pixel_pitch,android,camerax,emulate,dev-cxinterop
cap.device.sensor.pixel_pitch,linux,v4l2,deny,dev-nopixpitch
cap.device.sensor.pixel_pitch,linux,libcamera,native,
cap.device.sensor.pixel_pitch,linux,pipewire,deny,dev-nopixpitch
cap.device.sensor.pixel_pitch,win32,mediafoundation,deny,dev-nopixpitch
cap.device.sensor.pixel_pitch,web,getusermedia,deny,dev-webdeny
cap.device.sensor.pixel_pitch,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.sensor.pixel_pitch,genicam,sfnc,native,
cap.device.sensor.cfa,macos,avfoundation,deny,dev-nocfa
cap.device.sensor.cfa,ios,avfoundation,deny,dev-nocfa
cap.device.sensor.cfa,android,camera2ndk,native,
cap.device.sensor.cfa,android,camerax,emulate,dev-cxinterop
cap.device.sensor.cfa,linux,v4l2,native,
cap.device.sensor.cfa,linux,libcamera,native,
cap.device.sensor.cfa,linux,pipewire,deny,dev-nocfa
cap.device.sensor.cfa,win32,mediafoundation,deny,dev-nocfa
cap.device.sensor.cfa,web,getusermedia,deny,dev-webdeny
cap.device.sensor.cfa,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.sensor.cfa,genicam,sfnc,native,
cap.device.sensor.scan_type,macos,avfoundation,deny,dev-ceiling
cap.device.sensor.scan_type,ios,avfoundation,deny,dev-ceiling
cap.device.sensor.scan_type,android,camera2ndk,deny,dev-ceiling
cap.device.sensor.scan_type,android,camerax,deny,dev-ceiling
cap.device.sensor.scan_type,linux,v4l2,deny,dev-ceiling
cap.device.sensor.scan_type,linux,libcamera,deny,dev-ceiling
cap.device.sensor.scan_type,linux,pipewire,deny,dev-ceiling
cap.device.sensor.scan_type,win32,mediafoundation,deny,dev-ceiling
cap.device.sensor.scan_type,web,getusermedia,deny,dev-ceiling
cap.device.sensor.scan_type,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.sensor.scan_type,genicam,sfnc,native,
cap.device.sensor.white_level,macos,avfoundation,deny,dev-nowhitelevel
cap.device.sensor.white_level,ios,avfoundation,deny,dev-nowhitelevel
cap.device.sensor.white_level,android,camera2ndk,native,
cap.device.sensor.white_level,android,camerax,emulate,dev-cxinterop
cap.device.sensor.white_level,linux,v4l2,deny,dev-nowhitelevel
cap.device.sensor.white_level,linux,libcamera,deny,dev-nowhitelevel
cap.device.sensor.white_level,linux,pipewire,deny,dev-nowhitelevel
cap.device.sensor.white_level,win32,mediafoundation,deny,dev-nowhitelevel
cap.device.sensor.white_level,web,getusermedia,deny,dev-webdeny
cap.device.sensor.white_level,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.sensor.white_level,genicam,sfnc,native,
cap.device.lens.aperture.fixed,macos,avfoundation,native,
cap.device.lens.aperture.fixed,ios,avfoundation,native,
cap.device.lens.aperture.fixed,android,camera2ndk,native,
cap.device.lens.aperture.fixed,android,camerax,emulate,dev-cxinterop
cap.device.lens.aperture.fixed,linux,v4l2,deny,dev-noaperturechar
cap.device.lens.aperture.fixed,linux,libcamera,deny,dev-noaperturechar
cap.device.lens.aperture.fixed,linux,pipewire,deny,dev-noaperturechar
cap.device.lens.aperture.fixed,win32,mediafoundation,deny,dev-noaperturechar
cap.device.lens.aperture.fixed,web,getusermedia,deny,dev-webdeny
cap.device.lens.aperture.fixed,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.lens.aperture.fixed,genicam,sfnc,native,
cap.device.lens.focal_length,macos,avfoundation,deny,dev-nofocallen
cap.device.lens.focal_length,ios,avfoundation,deny,dev-nofocallen
cap.device.lens.focal_length,android,camera2ndk,native,
cap.device.lens.focal_length,android,camerax,emulate,dev-cxinterop
cap.device.lens.focal_length,linux,v4l2,deny,dev-nofocallen
cap.device.lens.focal_length,linux,libcamera,deny,dev-nofocallen
cap.device.lens.focal_length,linux,pipewire,deny,dev-nofocallen
cap.device.lens.focal_length,win32,mediafoundation,native,
cap.device.lens.focal_length,web,getusermedia,deny,dev-webdeny
cap.device.lens.focal_length,uvc-direct,uvc,native,
cap.device.lens.focal_length,genicam,sfnc,native,
cap.device.lens.min_focus_distance,macos,avfoundation,native,
cap.device.lens.min_focus_distance,ios,avfoundation,native,
cap.device.lens.min_focus_distance,android,camera2ndk,native,
cap.device.lens.min_focus_distance,android,camerax,emulate,dev-cxinterop
cap.device.lens.min_focus_distance,linux,v4l2,deny,dev-nominfocus
cap.device.lens.min_focus_distance,linux,libcamera,deny,dev-nominfocus
cap.device.lens.min_focus_distance,linux,pipewire,deny,dev-nominfocus
cap.device.lens.min_focus_distance,win32,mediafoundation,deny,dev-nominfocus
cap.device.lens.min_focus_distance,web,getusermedia,deny,dev-webdeny
cap.device.lens.min_focus_distance,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.lens.min_focus_distance,genicam,sfnc,deny,dev-genconsumer
cap.device.mic.association,macos,avfoundation,?,dev-avfmicq
cap.device.mic.association,ios,avfoundation,?,dev-avfmicq
cap.device.mic.association,android,camera2ndk,deny,dev-c2nomic
cap.device.mic.association,android,camerax,deny,dev-c2nomic
cap.device.mic.association,linux,v4l2,emulate,dev-usbparent
cap.device.mic.association,linux,libcamera,deny,dev-lcnomic
cap.device.mic.association,linux,pipewire,emulate,dev-pwnodegroup
cap.device.mic.association,win32,mediafoundation,native,
cap.device.mic.association,web,getusermedia,native,
cap.device.mic.association,uvc-direct,uvc,emulate,dev-usbparent
cap.device.mic.association,genicam,sfnc,deny,dev-genconsumer
cap.device.hardware_level,macos,avfoundation,deny,dev-nohwlevel
cap.device.hardware_level,ios,avfoundation,deny,dev-nohwlevel
cap.device.hardware_level,android,camera2ndk,native,
cap.device.hardware_level,android,camerax,emulate,dev-cxinterop
cap.device.hardware_level,linux,v4l2,deny,dev-nohwlevel
cap.device.hardware_level,linux,libcamera,deny,dev-nohwlevel
cap.device.hardware_level,linux,pipewire,deny,dev-nohwlevel
cap.device.hardware_level,win32,mediafoundation,deny,dev-nohwlevel
cap.device.hardware_level,web,getusermedia,deny,dev-webdeny
cap.device.hardware_level,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.hardware_level,genicam,sfnc,native,
cap.enum.caps.per_device,macos,avfoundation,emulate,dev-avfformatintro
cap.enum.caps.per_device,ios,avfoundation,emulate,dev-avfformatintro
cap.enum.caps.per_device,android,camera2ndk,native,
cap.enum.caps.per_device,android,camerax,native,
cap.enum.caps.per_device,linux,v4l2,native,
cap.enum.caps.per_device,linux,libcamera,native,
cap.enum.caps.per_device,linux,pipewire,emulate,dev-pwpropinfo
cap.enum.caps.per_device,win32,mediafoundation,native,
cap.enum.caps.per_device,web,getusermedia,native,
cap.enum.caps.per_device,uvc-direct,uvc,native,
cap.enum.caps.per_device,genicam,sfnc,native,
cap.enum.media_types,macos,avfoundation,native,
cap.enum.media_types,ios,avfoundation,native,
cap.enum.media_types,android,camera2ndk,emulate,dev-c2mediatype
cap.enum.media_types,android,camerax,emulate,dev-c2mediatype
cap.enum.media_types,linux,v4l2,native,
cap.enum.media_types,linux,libcamera,emulate,dev-lcmediatype
cap.enum.media_types,linux,pipewire,emulate,dev-pwprops
cap.enum.media_types,win32,mediafoundation,native,
cap.enum.media_types,web,getusermedia,native,
cap.enum.media_types,uvc-direct,uvc,emulate,dev-uvcvspin
cap.enum.media_types,genicam,sfnc,native,
cap.enum.feasibility.query_closed,macos,avfoundation,deny,dev-noqueryclosed
cap.enum.feasibility.query_closed,ios,avfoundation,deny,dev-noqueryclosed
cap.enum.feasibility.query_closed,android,camera2ndk,native,
cap.enum.feasibility.query_closed,android,camerax,deny,dev-cxhidesquery
cap.enum.feasibility.query_closed,linux,v4l2,deny,dev-noqueryclosed
cap.enum.feasibility.query_closed,linux,libcamera,deny,dev-noqueryclosed
cap.enum.feasibility.query_closed,linux,pipewire,deny,dev-noqueryclosed
cap.enum.feasibility.query_closed,win32,mediafoundation,emulate,dev-mfprofiletables
cap.enum.feasibility.query_closed,web,getusermedia,deny,dev-noqueryclosed
cap.enum.feasibility.query_closed,uvc-direct,uvc,deny,dev-uvcnoentry
cap.enum.feasibility.query_closed,genicam,sfnc,native,
cap.enum.feasibility.query_open,macos,avfoundation,native,
cap.enum.feasibility.query_open,ios,avfoundation,native,
cap.enum.feasibility.query_open,android,camera2ndk,native,
cap.enum.feasibility.query_open,android,camerax,emulate,dev-cxinterop
cap.enum.feasibility.query_open,linux,v4l2,emulate,dev-v4l2tryfmt
cap.enum.feasibility.query_open,linux,libcamera,emulate,dev-lcvalidate
cap.enum.feasibility.query_open,linux,pipewire,emulate,dev-pwenumformat
cap.enum.feasibility.query_open,win32,mediafoundation,emulate,dev-mfgetnative
cap.enum.feasibility.query_open,web,getusermedia,native,
cap.enum.feasibility.query_open,uvc-direct,uvc,emulate,dev-uvcprobe
cap.enum.feasibility.query_open,genicam,sfnc,emulate,dev-gennodemap
cap.enum.feasibility.combination_tables,macos,avfoundation,native,
cap.enum.feasibility.combination_tables,ios,avfoundation,native,
cap.enum.feasibility.combination_tables,android,camera2ndk,native,
cap.enum.feasibility.combination_tables,android,camerax,emulate,dev-cxconcurinfo
cap.enum.feasibility.combination_tables,linux,v4l2,deny,dev-nocombotables
cap.enum.feasibility.combination_tables,linux,libcamera,deny,dev-nocombotables
cap.enum.feasibility.combination_tables,linux,pipewire,deny,dev-nocombotables
cap.enum.feasibility.combination_tables,win32,mediafoundation,native,
cap.enum.feasibility.combination_tables,web,getusermedia,deny,dev-nocombotables
cap.enum.feasibility.combination_tables,uvc-direct,uvc,deny,dev-uvcnoentry
cap.enum.feasibility.combination_tables,genicam,sfnc,deny,dev-genconsumer
cap.enum.feasibility.try_adjust,macos,avfoundation,deny,dev-notryadjust
cap.enum.feasibility.try_adjust,ios,avfoundation,deny,dev-notryadjust
cap.enum.feasibility.try_adjust,android,camera2ndk,deny,dev-notryadjust
cap.enum.feasibility.try_adjust,android,camerax,deny,dev-notryadjust
cap.enum.feasibility.try_adjust,linux,v4l2,emulate,dev-v4l2tryfmt
cap.enum.feasibility.try_adjust,linux,libcamera,native,
cap.enum.feasibility.try_adjust,linux,pipewire,emulate,dev-pwenumformat
cap.enum.feasibility.try_adjust,win32,mediafoundation,deny,dev-notryadjust
cap.enum.feasibility.try_adjust,web,getusermedia,deny,dev-notryadjust
cap.enum.feasibility.try_adjust,uvc-direct,uvc,emulate,dev-uvcprobe
cap.enum.feasibility.try_adjust,genicam,sfnc,deny,dev-gennotryadj
cap.enum.feasibility.silent_clamp,macos,avfoundation,deny,dev-nosilentclamp
cap.enum.feasibility.silent_clamp,ios,avfoundation,deny,dev-nosilentclamp
cap.enum.feasibility.silent_clamp,android,camera2ndk,deny,dev-nosilentclamp
cap.enum.feasibility.silent_clamp,android,camerax,deny,dev-nosilentclamp
cap.enum.feasibility.silent_clamp,linux,v4l2,native,
cap.enum.feasibility.silent_clamp,linux,libcamera,deny,dev-nosilentclamp
cap.enum.feasibility.silent_clamp,linux,pipewire,deny,dev-nosilentclamp
cap.enum.feasibility.silent_clamp,win32,mediafoundation,native,
cap.enum.feasibility.silent_clamp,web,getusermedia,deny,dev-nosilentclamp
cap.enum.feasibility.silent_clamp,uvc-direct,uvc,deny,dev-uvcnoentry
cap.enum.feasibility.silent_clamp,genicam,sfnc,deny,dev-genconsumer
cap.enum.feasibility.constraints,macos,avfoundation,deny,dev-noconstraints
cap.enum.feasibility.constraints,ios,avfoundation,deny,dev-noconstraints
cap.enum.feasibility.constraints,android,camera2ndk,deny,dev-noconstraints
cap.enum.feasibility.constraints,android,camerax,deny,dev-noconstraints
cap.enum.feasibility.constraints,linux,v4l2,deny,dev-noconstraints
cap.enum.feasibility.constraints,linux,libcamera,deny,dev-noconstraints
cap.enum.feasibility.constraints,linux,pipewire,deny,dev-noconstraints
cap.enum.feasibility.constraints,win32,mediafoundation,deny,dev-noconstraints
cap.enum.feasibility.constraints,web,getusermedia,native,
cap.enum.feasibility.constraints,uvc-direct,uvc,deny,dev-uvcnoentry
cap.enum.feasibility.constraints,genicam,sfnc,deny,dev-genconsumer
cap.enum.feasibility.per_control_range,macos,avfoundation,native,
cap.enum.feasibility.per_control_range,ios,avfoundation,native,
cap.enum.feasibility.per_control_range,android,camera2ndk,native,
cap.enum.feasibility.per_control_range,android,camerax,native,
cap.enum.feasibility.per_control_range,linux,v4l2,native,
cap.enum.feasibility.per_control_range,linux,libcamera,native,
cap.enum.feasibility.per_control_range,linux,pipewire,native,
cap.enum.feasibility.per_control_range,win32,mediafoundation,native,
cap.enum.feasibility.per_control_range,web,getusermedia,native,
cap.enum.feasibility.per_control_range,uvc-direct,uvc,native,
cap.enum.feasibility.per_control_range,genicam,sfnc,native,
cap.enum.feasibility.cost_budget,macos,avfoundation,native,
cap.enum.feasibility.cost_budget,ios,avfoundation,native,
cap.enum.feasibility.cost_budget,android,camera2ndk,deny,dev-nocostbudget
cap.enum.feasibility.cost_budget,android,camerax,deny,dev-nocostbudget
cap.enum.feasibility.cost_budget,linux,v4l2,deny,dev-nocostbudget
cap.enum.feasibility.cost_budget,linux,libcamera,deny,dev-nocostbudget
cap.enum.feasibility.cost_budget,linux,pipewire,deny,dev-nocostbudget
cap.enum.feasibility.cost_budget,win32,mediafoundation,deny,dev-nocostbudget
cap.enum.feasibility.cost_budget,web,getusermedia,deny,dev-nocostbudget
cap.enum.feasibility.cost_budget,uvc-direct,uvc,deny,dev-uvcnoentry
cap.enum.feasibility.cost_budget,genicam,sfnc,deny,dev-genconsumer
cap.enum.concurrent_sets,macos,avfoundation,deny,dev-macosnomulticam
cap.enum.concurrent_sets,ios,avfoundation,native,
cap.enum.concurrent_sets,android,camera2ndk,native,
cap.enum.concurrent_sets,android,camerax,emulate,dev-cxconcurinfo
cap.enum.concurrent_sets,linux,v4l2,deny,dev-noconcurrent
cap.enum.concurrent_sets,linux,libcamera,deny,dev-noconcurrent
cap.enum.concurrent_sets,linux,pipewire,deny,dev-noconcurrent
cap.enum.concurrent_sets,win32,mediafoundation,deny,dev-noconcurrent
cap.enum.concurrent_sets,web,getusermedia,deny,dev-noconcurrent
cap.enum.concurrent_sets,uvc-direct,uvc,deny,dev-uvcnoentry
cap.enum.concurrent_sets,genicam,sfnc,deny,dev-genconsumer
cap.device.access.raw_under_os,macos,avfoundation,emulate,dev-rawuvc
cap.device.access.raw_under_os,ios,avfoundation,deny,dev-iosrawfloor
cap.device.access.raw_under_os,android,camera2ndk,deny,dev-androidrawfloor
cap.device.access.raw_under_os,android,camerax,deny,dev-androidrawfloor
cap.device.access.raw_under_os,linux,v4l2,native,
cap.device.access.raw_under_os,linux,libcamera,emulate,dev-rawuvc
cap.device.access.raw_under_os,linux,pipewire,emulate,dev-rawuvc
cap.device.access.raw_under_os,win32,mediafoundation,emulate,dev-rawuvc
cap.device.access.raw_under_os,web,getusermedia,deny,dev-webdeny
cap.device.access.raw_under_os,uvc-direct,uvc,native,
cap.device.access.raw_under_os,genicam,sfnc,native,
cap.device.access.extension_unit,macos,avfoundation,emulate,dev-rawuvc
cap.device.access.extension_unit,ios,avfoundation,deny,dev-iosrawfloor
cap.device.access.extension_unit,android,camera2ndk,deny,dev-androidrawfloor
cap.device.access.extension_unit,android,camerax,deny,dev-androidrawfloor
cap.device.access.extension_unit,linux,v4l2,native,
cap.device.access.extension_unit,linux,libcamera,emulate,dev-rawuvc
cap.device.access.extension_unit,linux,pipewire,emulate,dev-rawuvc
cap.device.access.extension_unit,win32,mediafoundation,native,
cap.device.access.extension_unit,web,getusermedia,deny,dev-webdeny
cap.device.access.extension_unit,uvc-direct,uvc,native,
cap.device.access.extension_unit,genicam,sfnc,native,
cap.device.hotplug,macos,avfoundation,native,
cap.device.hotplug,ios,avfoundation,native,
cap.device.hotplug,android,camera2ndk,native,
cap.device.hotplug,android,camerax,native,
cap.device.hotplug,linux,v4l2,native,
cap.device.hotplug,linux,libcamera,native,
cap.device.hotplug,linux,pipewire,native,
cap.device.hotplug,win32,mediafoundation,native,
cap.device.hotplug,web,getusermedia,native,
cap.device.hotplug,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.hotplug,genicam,sfnc,native,
cap.device.connected_state,macos,avfoundation,native,
cap.device.connected_state,ios,avfoundation,native,
cap.device.connected_state,android,camera2ndk,emulate,dev-c2availcb
cap.device.connected_state,android,camerax,emulate,dev-c2availcb
cap.device.connected_state,linux,v4l2,emulate,dev-v4l2openprobe
cap.device.connected_state,linux,libcamera,emulate,dev-lcdisconnected
cap.device.connected_state,linux,pipewire,emulate,dev-pwregistry
cap.device.connected_state,win32,mediafoundation,native,
cap.device.connected_state,web,getusermedia,native,
cap.device.connected_state,uvc-direct,uvc,deny,dev-uvcnoentry
cap.device.connected_state,genicam,sfnc,native,
cap.topology.session.graph,macos,avfoundation,native,
cap.topology.session.graph,ios,avfoundation,native,
cap.topology.session.graph,android,camera2ndk,native,
cap.topology.session.graph,android,camerax,native,top-camerax-graph
cap.topology.session.graph,linux,v4l2,native,
cap.topology.session.graph,linux,libcamera,native,
cap.topology.session.graph,linux,pipewire,native,
cap.topology.session.graph,win32,mediafoundation,native,
cap.topology.session.graph,web,getusermedia,native,
cap.topology.session.graph,uvc-direct,uvc,emulate,top-uvc-graph-implicit
cap.topology.session.graph,genicam,sfnc,native,
cap.topology.multicam.concurrent,macos,avfoundation,deny,top-avf-multicam-nomacos
cap.topology.multicam.concurrent,ios,avfoundation,native,
cap.topology.multicam.concurrent,android,camera2ndk,native,
cap.topology.multicam.concurrent,android,camerax,native,top-camerax-concurrent
cap.topology.multicam.concurrent,linux,v4l2,deny,top-v4l2-nomulticam
cap.topology.multicam.concurrent,linux,libcamera,emulate,top-libcamera-multicam-uncoordinated
cap.topology.multicam.concurrent,linux,pipewire,emulate,top-pw-multicam-backendbound
